"","mile","time","kde1.estimate"
"31308",132.25,6.58333333333333,0.000975993342419741
"31309",132.5,6.58333333333333,0.000948459544777413
"31310",132.75,6.58333333333333,0.000921172879378533
"31311",133,6.58333333333333,0.000894132584402837
"31312",133.25,6.58333333333333,0.000867337892467988
"31313",133.5,6.58333333333333,0.000840788332960362
"31314",133.75,6.58333333333333,0.000814484011952233
"31315",134,6.58333333333333,0.000788425865379587
"31316",134.25,6.58333333333333,0.000762615881673339
"31317",134.5,6.58333333333333,0.000737057290628975
"31318",134.75,6.58333333333333,0.000711754715952158
"31319",135,6.58333333333333,0.0006867142896153
"31320",135.25,6.58333333333333,0.000661943726887039
"31321",135.5,6.58333333333333,0.000637452361636114
"31322",135.75,6.58333333333333,0.000613251142247331
"31323",136,6.58333333333333,0.000589352589203725
"31324",87,6.625,0.00119404161628192
"31325",87.25,6.625,0.00123365136328442
"31326",87.5,6.625,0.00127299849371858
"31327",87.75,6.625,0.00131201684582463
"31328",88,6.625,0.00135064357037287
"31329",88.25,6.625,0.00138881947051995
"31330",88.5,6.625,0.00142648929630218
"31331",88.75,6.625,0.00146360199038169
"31332",89,6.625,0.00150011088216059
"31333",89.25,6.625,0.0015359738279003
"31334",89.5,6.625,0.00157115329502444
"31335",89.75,6.625,0.00160561638934319
"31336",90,6.625,0.00163933482451316
"31337",90.25,6.625,0.0016722848336393
"31338",90.5,6.625,0.0017044470235336
"31339",90.75,6.625,0.00173580617276983
"31340",91,6.625,0.00176635097531285
"31341",91.25,6.625,0.00179607373215488
"31342",91.5,6.625,0.00182496999405684
"31343",91.75,6.625,0.00185303815916759
"31344",92,6.625,0.00188027902997309
"31345",92.25,6.625,0.00190669533470394
"31346",92.5,6.625,0.00193229121899657
"31347",92.75,6.625,0.00195707171424947
"31348",93,6.625,0.00198104218972982
"31349",93.25,6.625,0.00200420779605511
"31350",93.5,6.625,0.00202657290818217
"31351",93.75,6.625,0.00204814057646943
"31352",94,6.625,0.00206891199471736
"31353",94.25,6.625,0.00208888599432397
"31354",94.5,6.625,0.00210805857379781
"31355",94.75,6.625,0.00212642247283705
"31356",95,6.625,0.00214396679999625
"31357",95.25,6.625,0.00216067672261068
"31358",95.5,6.625,0.00217653322712501
"31359",95.75,6.625,0.00219151295727268
"31360",96,6.625,0.00220558813667608
"31361",96.25,6.625,0.00221872658138706
"31362",96.5,6.625,0.00223089180667389
"31363",96.75,6.625,0.00224204323099524
"31364",97,6.625,0.00225213647860434
